I,-1.0,-2.0,-1.0,-2.0,-3.0,4.0,5.0,-1.0,8.0,-2.0,8.0,5.0,3.0,0.0,-1.0,6.0,-2.0,-1.0,-4.0,-2.0,-6.0,-5.0,-2.0,-8.0,34.0,10.0,-7.0,0.0,-8.0,-7.0,-12.0,2.0,-7.0,-15.0,-9.0,-7.0,-7.0,-7.0,-9.0,-3.0,3.0,-8.0,-19.0,-4.0,3.0,4.0,2.0,-2.0,-3.0,-4.0,1.0,5.0,6.0,-1.0,-6.0,-3.0,1.0,4.0,9.0,24.0,12.0,-1.0,-24.0,-1.0
deaf,-6.0,-14.0,-11.0,-7.0,-6.0,-5.0,-4.0,0.0,0.0,-6.0,-8.0,-12.0,-9.0,-2.0,7.0,4.0,14.0,-2.0,-19.0,-25.0,-23.0,-1.0,9.0,14.0,0.0,1.0,0.0,5.0,2.0,-2.0,-13.0,-8.0,1.0,-17.0,-15.0,-10.0,2.0,-1.0,-1.0,-11.0,-8.0,1.0,7.0,12.0,9.0,0.0,-9.0,-40.0,-45.0,-62.0,-35.0,5.0,-1.0,4.0,11.0,-23.0,-4.0,-5.0,-4.0,3.0,-1.0,-5.0,-11.0,-12.0
deaf,-6.0,-6.0,-6.0,1.0,-3.0,-1.0,0.0,2.0,0.0,-2.0,-3.0,-1.0,4.0,1.0,-2.0,4.0,2.0,17.0,3.0,9.0,6.0,1.0,-1.0,15.0,-7.0,-9.0,-9.0,-7.0,-10.0,-9.0,1.0,-1.0,17.0,42.0,18.0,8.0,19.0,15.0,19.0,12.0,-2.0,-2.0,-4.0,-7.0,-2.0,-2.0,-9.0,-1.0,2.0,-3.0,15.0,23.0,26.0,17.0,7.0,25.0,-2.0,-3.0,4.0,5.0,-4.0,-10.0,-6.0,-10.0
deaf,-6.0,7.0,17.0,12.0,3.0,1.0,-1.0,-5.0,2.0,0.0,0.0,1.0,0.0,-3.0,0.0,-1.0,13.0,18.0,2.0,5.0,-2.0,-5.0,9.0,-5.0,-2.0,-6.0,-7.0,-8.0,-3.0,-2.0,0.0,-1.0,3.0,6.0,10.0,-3.0,-3.0,-1.0,-19.0,0.0,-3.0,-7.0,-9.0,-12.0,-7.0,-4.0,-2.0,-2.0,-25.0,-16.0,5.0,1.0,-2.0,-8.0,-24.0,-27.0,-4.0,4.0,11.0,10.0,7.0,5.0,3.0,-1.0
deaf,-7.0,-3.0,0.0,-4.0,-1.0,-1.0,-2.0,6.0,-2.0,-1.0,0.0,-1.0,-3.0,1.0,1.0,0.0,10.0,14.0,8.0,11.0,3.0,2.0,10.0,29.0,-3.0,-2.0,-3.0,-1.0,-6.0,-3.0,4.0,1.0,0.0,-9.0,-8.0,-3.0,-2.0,-5.0,9.0,17.0,-2.0,-3.0,2.0,2.0,6.0,4.0,4.0,3.0,-35.0,-33.0,-17.0,-4.0,6.0,8.0,10.0,24.0,-1.0,-1.0,-5.0,-7.0,-8.0,-9.0,-3.0,-10.0
deaf,-8.0,1.0,5.0,-1.0,-1.0,0.0,1.0,0.0,-1.0,-2.0,-3.0,-5.0,-2.0,1.0,0.0,-2.0,-2.0,11.0,15.0,12.0,-2.0,-6.0,-12.0,-22.0,-6.0,-6.0,-9.0,-6.0,-10.0,-13.0,-2.0,-26.0,17.0,4.0,1.0,-6.0,-3.0,-4.0,-13.0,18.0,-2.0,-3.0,-4.0,-1.0,2.0,3.0,0.0,0.0,2.0,8.0,5.0,2.0,-12.0,-26.0,-10.0,61.0,-3.0,-9.0,-3.0,-7.0,-9.0,-5.0,-10.0,-5.0
deaf,0.0,-1.0,-3.0,-4.0,0.0,2.0,-1.0,0.0,4.0,4.0,-9.0,-3.0,-3.0,-1.0,0.0,2.0,-2.0,-3.0,-3.0,-3.0,-6.0,-4.0,-5.0,-1.0,17.0,6.0,-4.0,-3.0,0.0,-9.0,-26.0,-6.0,-2.0,-2.0,0.0,5.0,-1.0,-8.0,1.0,5.0,-66.0,-40.0,-35.0,-22.0,-8.0,-6.0,14.0,14.0,-2.0,-4.0,-4.0,-7.0,-16.0,-6.0,-2.0,3.0,-11.0,1.0,-6.0,-12.0,-25.0,-12.0,5.0,33.0
deaf,0.0,-5.0,-6.0,-3.0,-6.0,-7.0,-4.0,0.0,-1.0,-4.0,-2.0,2.0,2.0,0.0,-1.0,1.0,-1.0,-1.0,-2.0,5.0,1.0,-4.0,-4.0,0.0,4.0,-16.0,-17.0,-13.0,-10.0,-4.0,27.0,35.0,1.0,-3.0,-6.0,-10.0,-15.0,-5.0,3.0,23.0,-31.0,-8.0,1.0,1.0,-8.0,-4.0,-7.0,-15.0,-4.0,0.0,-4.0,4.0,0.0,-10.0,-8.0,-17.0,14.0,29.0,24.0,0.0,-10.0,-10.0,-12.0,-67.0
deaf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,-2.0,-8.0,-8.0,-4.0,-1.0,0.0,-15.0,-7.0,-4.0,-6.0,-5.0,-7.0,-5.0,-2.0,-9.0,15.0,43.0,43.0,28.0,17.0,3.0,-4.0,-47.0,-8.0,-4.0,-3.0,-6.0,-3.0,2.0,-12.0,-14.0,-17.0,-36.0,-36.0,-32.0,-42.0,-23.0,-22.0,54.0,-3.0,-1.0,3.0,7.0,4.0,1.0,2.0,-15.0,31.0,-13.0,-27.0,-26.0,-13.0,5.0,-11.0,-3.0
deaf,0.0,2.0,2.0,6.0,7.0,2.0,1.0,0.0,-21.0,-16.0,6.0,8.0,3.0,-1.0,-9.0,-21.0,-5.0,-2.0,0.0,5.0,2.0,0.0,-7.0,-11.0,30.0,49.0,27.0,13.0,-1.0,-6.0,7.0,-18.0,3.0,-1.0,-3.0,-4.0,-6.0,-6.0,5.0,5.0,2.0,-10.0,2.0,1.0,-2.0,-5.0,26.0,14.0,-2.0,-2.0,-3.0,-4.0,3.0,-1.0,1.0,6.0,-36.0,-56.0,-42.0,26.0,40.0,23.0,20.0,81.0
deaf,2.0,3.0,4.0,8.0,5.0,0.0,-3.0,0.0,6.0,3.0,4.0,3.0,3.0,1.0,0.0,-3.0,-1.0,0.0,0.0,6.0,0.0,6.0,7.0,4.0,2.0,-11.0,-6.0,-7.0,2.0,6.0,17.0,9.0,-2.0,-2.0,-1.0,1.0,4.0,-2.0,-6.0,0.0,10.0,-13.0,-6.0,-5.0,-7.0,8.0,24.0,47.0,-8.0,-3.0,2.0,6.0,3.0,-5.0,-12.0,-9.0,-21.0,-37.0,-41.0,-23.0,-12.0,-3.0,-15.0,9.0
deaf,20.0,20.0,17.0,10.0,0.0,-6.0,-2.0,5.0,-3.0,-1.0,-1.0,0.0,-2.0,-3.0,-3.0,-29.0,42.0,16.0,2.0,-2.0,-10.0,9.0,31.0,22.0,1.0,-2.0,4.0,0.0,4.0,3.0,-1.0,15.0,-8.0,2.0,9.0,13.0,-2.0,-11.0,-16.0,-25.0,-6.0,-4.0,-4.0,-11.0,-11.0,10.0,3.0,5.0,-33.0,-19.0,-11.0,-19.0,-11.0,-10.0,-6.0,-26.0,1.0,-5.0,-4.0,-6.0,-2.0,-9.0,-10.0,-15.0
thank_you,-11.0,0.0,-5.0,-2.0,-3.0,-6.0,-8.0,-13.0,-5.0,-2.0,-1.0,-7.0,-10.0,-23.0,-29.0,-14.0,22.0,3.0,-6.0,0.0,5.0,7.0,-17.0,-17.0,-16.0,-30.0,-9.0,2.0,-10.0,-24.0,-19.0,-2.0,-13.0,-6.0,-25.0,-26.0,-12.0,-3.0,-4.0,-7.0,-10.0,-16.0,0.0,-1.0,-5.0,6.0,14.0,-9.0,21.0,-6.0,-1.0,-2.0,9.0,0.0,6.0,28.0,-3.0,12.0,7.0,-3.0,-5.0,-31.0,-17.0,6.0
thank_you,-2.0,-3.0,-2.0,-5.0,-6.0,-9.0,-6.0,-17.0,-9.0,4.0,12.0,9.0,4.0,0.0,-2.0,-8.0,3.0,21.0,25.0,-1.0,3.0,-9.0,-6.0,17.0,3.0,-22.0,-19.0,-12.0,1.0,22.0,0.0,3.0,-7.0,8.0,16.0,12.0,-12.0,-18.0,4.0,-18.0,7.0,5.0,10.0,15.0,11.0,-17.0,-3.0,32.0,1.0,16.0,12.0,1.0,-1.0,-7.0,8.0,30.0,7.0,0.0,0.0,3.0,15.0,28.0,14.0,2.0
thank_you,-2.0,-3.0,-4.0,-6.0,-10.0,-13.0,-17.0,23.0,-9.0,1.0,-1.0,-5.0,-2.0,-2.0,-3.0,-7.0,-12.0,-25.0,-40.0,4.0,2.0,-1.0,-2.0,-11.0,10.0,-13.0,-34.0,-32.0,-16.0,-8.0,-9.0,-12.0,-5.0,-8.0,-5.0,-22.0,2.0,15.0,12.0,38.0,-70.0,-2.0,-4.0,-1.0,-3.0,-2.0,-6.0,-75.0,3.0,-11.0,-7.0,-9.0,-4.0,7.0,8.0,21.0,39.0,26.0,12.0,0.0,-12.0,-18.0,6.0,21.0
thank_you,-25.0,-31.0,-3.0,2.0,1.0,4.0,1.0,-12.0,1.0,-2.0,0.0,5.0,4.0,5.0,14.0,11.0,-47.0,-8.0,-5.0,-7.0,-5.0,0.0,1.0,-6.0,-3.0,-4.0,-21.0,-28.0,-29.0,-22.0,-12.0,6.0,2.0,-13.0,0.0,12.0,4.0,-4.0,15.0,-1.0,-13.0,30.0,40.0,-1.0,32.0,39.0,11.0,-5.0,37.0,18.0,-16.0,-8.0,0.0,-1.0,12.0,20.0,-10.0,-23.0,-12.0,-5.0,-19.0,-8.0,-9.0,-32.0
thank_you,-4.0,-11.0,-12.0,-4.0,-2.0,0.0,-3.0,-3.0,-1.0,-1.0,-4.0,-1.0,-1.0,1.0,3.0,-2.0,-3.0,-6.0,-7.0,-5.0,12.0,13.0,19.0,18.0,-15.0,-22.0,-1.0,-5.0,-13.0,-14.0,-19.0,-4.0,4.0,-6.0,-15.0,5.0,-6.0,-17.0,-25.0,3.0,4.0,16.0,-4.0,4.0,12.0,12.0,7.0,17.0,-5.0,-6.0,-10.0,29.0,4.0,-12.0,4.0,7.0,-10.0,-24.0,2.0,-11.0,0.0,-7.0,-18.0,-78.0
thank_you,-4.0,11.0,4.0,3.0,0.0,0.0,3.0,6.0,4.0,1.0,0.0,-3.0,3.0,8.0,16.0,-1.0,-40.0,-39.0,-30.0,-33.0,-35.0,-3.0,7.0,14.0,-6.0,-26.0,-8.0,6.0,-14.0,-18.0,-22.0,7.0,4.0,-8.0,-7.0,-1.0,-5.0,10.0,-9.0,-16.0,-6.0,-22.0,-22.0,-54.0,-18.0,-31.0,-17.0,-47.0,-9.0,-23.0,-47.0,-20.0,-13.0,-2.0,-23.0,-47.0,-11.0,-14.0,-6.0,-18.0,-6.0,0.0,-30.0,-26.0
thank_you,-6.0,-9.0,-7.0,-5.0,-4.0,0.0,-1.0,-8.0,1.0,3.0,2.0,4.0,4.0,4.0,8.0,5.0,-36.0,-26.0,-10.0,-9.0,-5.0,6.0,-6.0,-28.0,-2.0,0.0,-12.0,-11.0,-2.0,3.0,11.0,-3.0,8.0,29.0,21.0,-5.0,10.0,-2.0,0.0,-19.0,5.0,-10.0,-21.0,-11.0,-25.0,-21.0,1.0,-6.0,-62.0,-46.0,-21.0,-20.0,-8.0,-4.0,4.0,-8.0,-1.0,-1.0,2.0,-6.0,-1.0,-1.0,5.0,-11.0
thank_you,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,9.0,3.0,2.0,2.0,6.0,8.0,-1.0,5.0,-11.0,-11.0,-4.0,-1.0,11.0,7.0,-4.0,1.0,-6.0,-1.0,-1.0,-6.0,10.0,16.0,-1.0,-13.0,2.0,19.0,3.0,-20.0,-14.0,-3.0,31.0,15.0,22.0,2.0,0.0,7.0,-1.0,7.0,3.0,22.0,9.0,6.0,-5.0,-13.0,-15.0,-12.0,-27.0,-26.0,-11.0,-4.0,-4.0,-9.0,-2.0,-12.0
thank_you,1.0,-1.0,-1.0,2.0,-4.0,-16.0,-16.0,-3.0,-19.0,-19.0,-2.0,1.0,-1.0,-1.0,-1.0,-6.0,15.0,10.0,14.0,5.0,5.0,-3.0,-3.0,2.0,-12.0,-8.0,7.0,6.0,-18.0,-20.0,-7.0,-15.0,5.0,-11.0,-18.0,-27.0,-25.0,-9.0,17.0,-1.0,-2.0,19.0,8.0,2.0,1.0,-9.0,17.0,18.0,-5.0,-17.0,-19.0,83.0,19.0,-24.0,-16.0,-43.0,-43.0,-53.0,-20.0,-8.0,-8.0,-2.0,-4.0,-3.0
thank_you,1.0,-1.0,-2.0,-6.0,-6.0,5.0,3.0,3.0,10.0,34.0,7.0,6.0,14.0,5.0,-16.0,-17.0,-4.0,-18.0,-25.0,5.0,6.0,0.0,-18.0,-10.0,-1.0,4.0,-2.0,-13.0,-12.0,0.0,-16.0,-15.0,-3.0,-7.0,-3.0,2.0,9.0,12.0,5.0,8.0,34.0,24.0,3.0,3.0,8.0,0.0,0.0,9.0,-16.0,3.0,-3.0,4.0,-5.0,-6.0,-4.0,-22.0,-32.0,-17.0,18.0,9.0,20.0,33.0,6.0,1.0
thank_you,1.0,5.0,6.0,1.0,-3.0,-9.0,-11.0,-13.0,-1.0,2.0,3.0,6.0,12.0,16.0,18.0,1.0,5.0,4.0,9.0,-1.0,-16.0,2.0,-5.0,0.0,-15.0,-55.0,-51.0,-21.0,-11.0,-5.0,10.0,12.0,-10.0,-22.0,-14.0,2.0,-14.0,-7.0,-4.0,-15.0,-4.0,-4.0,2.0,4.0,7.0,20.0,30.0,1.0,-40.0,-7.0,-2.0,4.0,-5.0,-20.0,-9.0,3.0,-1.0,-9.0,-8.0,-12.0,-4.0,-6.0,-12.0,-16.0
thank_you,12.0,13.0,5.0,-1.0,2.0,-1.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,17.0,11.0,4.0,-7.0,29.0,-5.0,-5.0,-8.0,-29.0,-36.0,-14.0,-15.0,-15.0,-21.0,-4.0,-45.0,-38.0,11.0,11.0,8.0,-10.0,-14.0,-20.0,2.0,3.0,23.0,13.0,19.0,30.0,43.0,41.0,30.0,11.0,-12.0,0.0,1.0,10.0,10.0,20.0,-2.0,16.0,13.0,-14.0,-4.0,3.0,30.0,-16.0
thank_you,2.0,-1.0,-5.0,-4.0,-4.0,-8.0,2.0,10.0,0.0,-11.0,-10.0,-4.0,-4.0,9.0,4.0,-17.0,3.0,-22.0,-22.0,-12.0,-17.0,-19.0,-28.0,-7.0,4.0,-2.0,-9.0,-18.0,1.0,-21.0,-27.0,4.0,1.0,2.0,3.0,3.0,10.0,25.0,32.0,16.0,19.0,5.0,-9.0,-2.0,-9.0,-5.0,-6.0,-22.0,8.0,5.0,9.0,6.0,17.0,26.0,17.0,0.0,-35.0,-28.0,2.0,-8.0,-13.0,3.0,7.0,9.0
thank_you,2.0,0.0,-9.0,2.0,5.0,1.0,-3.0,-3.0,-21.0,-15.0,11.0,11.0,3.0,0.0,0.0,9.0,-6.0,-5.0,3.0,0.0,1.0,-7.0,-17.0,1.0,46.0,24.0,13.0,5.0,2.0,20.0,8.0,20.0,-13.0,12.0,-3.0,-18.0,4.0,1.0,-19.0,-54.0,3.0,15.0,-8.0,-3.0,10.0,-8.0,0.0,-5.0,-9.0,2.0,9.0,-10.0,5.0,14.0,18.0,-52.0,39.0,41.0,15.0,13.0,14.0,-25.0,10.0,34.0
thank_you,4.0,-5.0,-13.0,-11.0,-5.0,-5.0,-4.0,-1.0,-6.0,-3.0,0.0,-2.0,-2.0,-3.0,-16.0,-9.0,11.0,3.0,-6.0,1.0,11.0,4.0,-1.0,3.0,-5.0,-9.0,-16.0,-9.0,-14.0,-44.0,-37.0,-16.0,-56.0,-46.0,-30.0,-17.0,-14.0,-4.0,17.0,19.0,5.0,-15.0,-26.0,-14.0,-11.0,4.0,6.0,42.0,-10.0,2.0,-15.0,-11.0,7.0,21.0,-7.0,-23.0,13.0,1.0,-29.0,-1.0,-2.0,-5.0,-7.0,25.0
thank_you,4.0,0.0,-2.0,0.0,7.0,20.0,30.0,6.0,10.0,3.0,-17.0,-14.0,4.0,8.0,-2.0,-14.0,5.0,-4.0,8.0,-8.0,2.0,-5.0,-17.0,8.0,4.0,9.0,0.0,2.0,-8.0,-5.0,-17.0,-15.0,0.0,-4.0,-20.0,-25.0,-17.0,4.0,5.0,1.0,-11.0,29.0,32.0,1.0,28.0,12.0,-4.0,7.0,-2.0,1.0,4.0,17.0,13.0,5.0,-8.0,-59.0,2.0,1.0,-18.0,-9.0,-10.0,7.0,-1.0,-18.0
thank_you,5.0,-4.0,2.0,3.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,3.0,-2.0,-7.0,1.0,-5.0,-12.0,-3.0,7.0,-4.0,27.0,10.0,0.0,-5.0,4.0,29.0,10.0,15.0,21.0,19.0,7.0,1.0,24.0,6.0,6.0,13.0,13.0,-1.0,8.0,7.0,-5.0,18.0,9.0,-2.0,3.0,5.0,0.0,-12.0,-31.0,-23.0,-5.0,4.0,5.0,5.0,12.0,2.0,-9.0,-43.0,13.0,10.0,31.0,24.0,25.0,2.0
thank_you,5.0,2.0,4.0,5.0,5.0,2.0,1.0,10.0,5.0,4.0,-1.0,-5.0,-4.0,-1.0,2.0,2.0,-12.0,-21.0,-30.0,-10.0,-19.0,-21.0,-13.0,-11.0,-34.0,-23.0,3.0,1.0,-4.0,35.0,5.0,-9.0,2.0,13.0,21.0,23.0,18.0,7.0,-9.0,15.0,-11.0,-10.0,-3.0,-7.0,-26.0,-12.0,-4.0,6.0,-12.0,17.0,16.0,2.0,-8.0,-34.0,-42.0,-42.0,-27.0,-19.0,-3.0,-6.0,0.0,-13.0,4.0,-3.0
thank_you,5.0,7.0,13.0,9.0,6.0,3.0,1.0,3.0,-6.0,-4.0,-6.0,-10.0,-14.0,-14.0,-16.0,-14.0,0.0,1.0,-18.0,-19.0,8.0,-7.0,-15.0,-15.0,7.0,-5.0,2.0,-1.0,-13.0,-10.0,8.0,-7.0,-47.0,-54.0,-26.0,-28.0,-35.0,-7.0,-6.0,-13.0,-8.0,12.0,-29.0,-15.0,-16.0,-22.0,-12.0,21.0,-18.0,2.0,-5.0,-12.0,-14.0,-3.0,-11.0,-16.0,-10.0,-19.0,-9.0,-14.0,-3.0,-14.0,0.0,-7.0
thank_you,8.0,12.0,6.0,-2.0,-1.0,-1.0,0.0,-2.0,-2.0,-1.0,0.0,-1.0,-6.0,-7.0,-3.0,-6.0,-9.0,-12.0,2.0,18.0,18.0,-13.0,-19.0,-30.0,10.0,7.0,-6.0,3.0,3.0,1.0,3.0,3.0,18.0,0.0,-8.0,-11.0,-10.0,25.0,1.0,5.0,-17.0,-12.0,-18.0,-9.0,-4.0,3.0,13.0,-10.0,26.0,16.0,-6.0,0.0,1.0,4.0,-5.0,-17.0,7.0,19.0,8.0,10.0,13.0,15.0,18.0,-11.0
to_be_better,-1.0,-2.0,-6.0,-2.0,-9.0,-8.0,2.0,12.0,3.0,1.0,2.0,-7.0,-1.0,9.0,11.0,2.0,-21.0,-15.0,-13.0,-13.0,0.0,-4.0,-10.0,-1.0,-24.0,-17.0,-11.0,-20.0,-26.0,-19.0,-19.0,-27.0,101.0,88.0,50.0,28.0,23.0,15.0,-2.0,7.0,15.0,-10.0,-37.0,-32.0,-32.0,-11.0,-28.0,0.0,97.0,76.0,9.0,11.0,-3.0,3.0,4.0,-13.0,-5.0,-22.0,-4.0,14.0,25.0,39.0,21.0,30.0
to_be_better,-1.0,-6.0,12.0,7.0,2.0,1.0,0.0,12.0,-26.0,10.0,12.0,-22.0,-17.0,-12.0,-14.0,-22.0,-2.0,-17.0,-37.0,-20.0,-9.0,-7.0,-3.0,-26.0,6.0,8.0,0.0,3.0,0.0,-7.0,-12.0,17.0,221.0,194.0,50.0,11.0,4.0,10.0,7.0,6.0,8.0,24.0,36.0,32.0,26.0,32.0,46.0,6.0,46.0,45.0,42.0,29.0,33.0,26.0,28.0,58.0,2.0,-2.0,-6.0,3.0,9.0,2.0,-55.0,19.0
to_be_better,-10.0,0.0,11.0,4.0,14.0,6.0,-3.0,-7.0,3.0,0.0,-1.0,-1.0,1.0,6.0,2.0,9.0,-11.0,-5.0,16.0,3.0,-15.0,-4.0,7.0,8.0,-6.0,-35.0,-27.0,-17.0,-19.0,-10.0,-13.0,6.0,-107.0,-127.0,-69.0,15.0,101.0,5.0,-30.0,-69.0,18.0,2.0,15.0,23.0,51.0,52.0,39.0,23.0,25.0,-30.0,-6.0,-13.0,-6.0,1.0,6.0,22.0,-29.0,-26.0,-15.0,-6.0,-21.0,-36.0,-31.0,-32.0
to_be_better,-12.0,-7.0,-11.0,-12.0,-10.0,1.0,8.0,-25.0,14.0,18.0,1.0,-12.0,-4.0,12.0,41.0,66.0,8.0,13.0,10.0,23.0,-10.0,9.0,13.0,8.0,-42.0,-13.0,-24.0,8.0,6.0,-30.0,-26.0,-111.0,94.0,35.0,13.0,1.0,-8.0,0.0,18.0,56.0,-19.0,1.0,0.0,-10.0,-36.0,-73.0,-42.0,12.0,-126.0,-119.0,-42.0,-23.0,-14.0,-25.0,-12.0,-27.0,-3.0,6.0,12.0,16.0,22.0,47.0,65.0,-12.0
